Tribunal,Ano,Mês,Acórdão,Homologação de Acordo,Decisaão monocrárica,Total,Data Publicação 1,Data Publicação 2
tjam,2000,Janeiro,0,0,0,0,01-01-2000,31-01-2000
tjam,2000,Fevereiro,0,0,0,0,01-02-2000,29-02-2000
tjam,2000,Março,0,0,0,0,01-03-2000,31-03-2000
tjam,2000,Abril,0,0,0,0,01-04-2000,30-04-2000
tjam,2000,Maio,0,0,0,0,01-05-2000,31-05-2000
tjam,2000,Junho,0,0,0,0,01-06-2000,30-06-2000
tjam,2000,Julho,0,0,0,0,01-07-2000,31-07-2000
tjam,2000,Agosto,0,0,0,0,01-08-2000,31-08-2000
tjam,2000,Setembro,0,0,0,0,01-09-2000,30-09-2000
tjam,2000,Outubro,0,0,0,0,01-10-2000,31-10-2000
tjam,2000,Novembro,0,0,0,0,01-11-2000,30-11-2000
tjam,2000,Dezembro,0,0,0,0,01-12-2000,31-12-2000
tjam,2001,Janeiro,0,0,0,0,01-01-2001,31-01-2001
tjam,2001,Fevereiro,0,0,0,0,01-02-2001,28-02-2001
tjam,2001,Março,0,0,0,0,01-03-2001,31-03-2001
tjam,2001,Abril,0,0,0,0,01-04-2001,30-04-2001
tjam,2001,Maio,0,0,0,0,01-05-2001,31-05-2001
tjam,2001,Junho,0,0,0,0,01-06-2001,30-06-2001
tjam,2001,Julho,0,0,0,0,01-07-2001,31-07-2001
tjam,2001,Agosto,0,0,0,0,01-08-2001,31-08-2001
tjam,2001,Setembro,0,0,0,0,01-09-2001,30-09-2001
tjam,2001,Outubro,0,0,0,0,01-10-2001,31-10-2001
tjam,2001,Novembro,0,0,0,0,01-11-2001,30-11-2001
tjam,2001,Dezembro,0,0,0,0,01-12-2001,31-12-2001
tjam,2002,Janeiro,0,0,0,0,01-01-2002,31-01-2002
tjam,2002,Fevereiro,0,0,0,0,01-02-2002,28-02-2002
tjam,2002,Março,0,0,0,0,01-03-2002,31-03-2002
tjam,2002,Abril,0,0,0,0,01-04-2002,30-04-2002
